4.176,Flight Controller: Echo-Uniform-November 0-2-0-9 melden sie ihren Status.,Flight Controller: Echo-Uniform-November 0-2-0-9 please report your status.,03Act1_Cockpit_01_Cut_Dialog.mp3
6.994,Robert: Hier Echo-Uniform-November 0-2-0-9 Flight Control. Befinden uns auf geplantem Anflugkurs im Vektor 6 in Richtung Diomhair 16.,Robert: Here Echo-Uniform-November 0-2-0-9 flight control. We're on planned course in vector 6 to the Diomhair 16. ,03Act1_Cockpit_02_Cut_Dialog.mp3
5.054,Robert: Alle Systeme klar und laufen.Besatzung Flight Commander Robert Wallace und Dr. Catriona Price.,Robert: All systems are running. Crew flight commander Robert Wallace und Dr. Catriona Price.,03Act1_Cockpit_03_Cut_Dialog.mp3
3.721,Flight Controller: Eun 0-2-0-9 bleiben Sie auf Kurs und schalten Sie den Funk ein.,Flight Controller: Eun 0-2-0-9 stay on course and turn on the radio.,03Act1_Cockpit_04_Cut_Dialog.mp3
4.440,Flight Controller: Sie sollten sich in Reichweite befinden. Warten Sie ob jemand von der Diomhair antwortet.,Flight Controller: You should be in range. Wait for someone of the Diomhair to answer.,03Act1_Cockpit_05_Cut_Dialog.mp3
2.431,Robert: Verstanden Flight Control.,Robert: Understood flight control.,03Act1_Cockpit_06_Cut_Dialog.mp3
5.577,"Robert: Diomhair 16 bitte antworten. Hier ist die Eun 0-2-0-9, vom Frachter Gulian der Instellar Life and Military Corporation.",Robert: Diomhair 16 please answer. This is Eun 0-2-0-9 from Gulian of the Instellar Life and Military Cooperation.,03Act1_Cockpit_07_Cut_Dialog.mp3
5.211,"Robert: Wir bringen Aufklärer der Corp., da Sie ihre Meldetermine versäumt haben. Erbitten Landeerlaubnis. Bitte Antworten.","Robert: We're bringing the corp, because you missed your reporting deadlines. Requesting persmission to land. Please answer.",03Act1_Cockpit_08_Cut_Dialog.mp3
2.690,Robert: Diomhair hören Sie?,Robert: Diomhair can you hear me?,03Act1_Cockpit_09_Cut_Dialog.mp3
2.782,"Robert: Hmm, geht keiner ran.","Robert: Hmm, nobody is answering.",03Act1_Cockpit_10_Cut_Dialog.mp3
3.721,Catriona: Merke ich selbst Commander. Sollten Sie das nicht melden?,Catriona: I noticed it myself commander. Shouldn't you report that?,03Act1_Cockpit_11_Cut_Dialog.mp3
5.877,Robert: Ich hab ein ganz mieses Gefühl bei der Sache. Flight Control hier Flight Commander Wallace.,Robert: I have a very bad feeling about this. Flight control here flight commander Wallace. ,03Act1_Cockpit_12_Cut_Dialog.mp3
1.368,Flight Controller: Hören Sie Commander.,Flight Controller: Listening commander.,03Act1_Cockpit_13_Cut_Dialog.mp3
3.497,Robert: Bei der Diomhair meldet sich niemand. Haben wohl Probleme mit dem Funk?,Robert: Nobody is answering at the Diomhair. Do they have problems with their radio?,03Act1_Cockpit_14_Cut_Dialog.mp3
2.208,Flight Controller: Verdammt das war zu erwarten.,"Flight Controller: Damn, that was to be expected.",03Act1_Cockpit_15_Cut_Dialog.mp3
1.368,Robert: Und was nun?,Robert: And what now?,03Act1_Cockpit_16_Cut_Dialog.mp3
1.656,Flight Controller: Anflug fortsetzen.,Flight Controller: Continue the approach.,03Act1_Cockpit_17_Cut_Dialog.mp3
1.032,Robert: Verstanden.,Robert: Understood.,03Act1_Cockpit_18_Cut_Dialog.mp3
1.656,Robert: Ah... Moment.,Robert: Ah... wait a minute.,03Act1_Cockpit_19_Cut_Dialog.mp3
1.008,Flight Controller: Was ist?,Flight Controller: What is it?,03Act1_Cockpit_20_Cut_Dialog.mp3
2.125,Robert: Das Landesystem hat uns eingefangen.,Robert: The landing system caught us.,03Act1_Cockpit_21_Cut_Dialog.mp3
4.608,Flight Controller: Wir sehen es. Scheint als funktioniert wenigstens das noch. Lassen Sie sich darauf ein. ,Flight Controller: We see it. Seems like at least that still works. Go with it.,03Act1_Cockpit_22_Cut_Dialog.mp3
1.511,Robert: Verstanden.,Robert: Understood.,03Act1_Cockpit_23_Cut_Dialog.mp3